,Description,Max score,Total score,Query cover,E value,Ident,Accession,,
Select seq WP_014470287.1,MULTISPECIES: hypothetical protein [Bacillus subtilis group],170,170,0.8,8.00E-45,0.25,WP_014470287.1,,
Select seq WP_048510525.1,glucosylceramidase [Chryseobacterium sp. FH2],170,170,0.83,9.00E-45,0.25,WP_048510525.1,,
Select seq WP_065981681.1,glycosyl hydrolase [Bacillus amyloliquefaciens],170,170,0.8,1.00E-44,0.25,WP_065981681.1,,
Select seq WP_044802204.1,glycosyl hydrolase [Bacillus velezensis],170,170,0.79,1.00E-44,0.25,WP_044802204.1,,
Select seq WP_122146134.1,beta-glycosidase [Parabacteroides gordonii],170,170,0.79,1.00E-44,0.25,WP_122146134.1,,
Select seq WP_046148359.1,beta-glycosidase [Parabacteroides sp. HGS0025],170,170,0.79,1.00E-44,0.25,WP_046148359.1,,
Select seq WP_009129782.1,hypothetical protein [Bacteroides oleiciplenus],170,170,0.8,1.00E-44,0.25,WP_009129782.1,,
Select seq WP_072177808.1,glycosyl hydrolase [Bacillus amyloliquefaciens],170,170,0.79,1.00E-44,0.25,WP_072177808.1,,
Select seq WP_039254852.1,MULTISPECIES: glycosyl hydrolase [Bacillus],170,170,0.79,1.00E-44,0.25,WP_039254852.1,,
Select seq WP_094031782.1,glycosyl hydrolase [Bacillus velezensis],170,170,0.79,2.00E-44,0.25,WP_094031782.1,,
Select seq WP_015417643.1,"glucan endo-1,6-beta-glucosidase [Bacillus velezensis]",170,170,0.79,2.00E-44,0.25,WP_015417643.1,,
Select seq WP_097636876.1,glycosyl hydrolase [Glycomyces fuscus],172,172,0.86,2.00E-44,0.25,WP_097636876.1,,
Select seq WP_061890661.1,glycosyl hydrolase [Bacillus amyloliquefaciens],169,169,0.79,3.00E-44,0.25,WP_061890661.1,,
Select seq WP_051200168.1,T9SS C-terminal target domain-containing protein [Flavobacterium subsaxonicum],173,173,0.81,3.00E-44,0.25,WP_051200168.1,,
Select seq WP_113766745.1,glycosyl hydrolase [Bacillus velezensis],169,169,0.79,3.00E-44,0.25,WP_113766745.1,,
Select seq WP_102980546.1,glucosylceramidase [Chryseobacterium scophthalmum],168,168,0.79,4.00E-44,0.25,WP_102980546.1,,
Select seq WP_061581522.1,MULTISPECIES: glycosyl hydrolase [Bacillus amyloliquefaciens group],169,169,0.79,4.00E-44,0.25,WP_061581522.1,,
Select seq WP_025284867.1,glycosyl hydrolase [Bacillus velezensis],169,169,0.79,4.00E-44,0.25,WP_025284867.1,,
Select seq WP_120465607.1,glycoside hydrolase [bacterium 0.1xD8-82],169,169,0.79,4.00E-44,0.25,WP_120465607.1,,
Select seq WP_118864238.1,glycosyl hydrolase [Sphingomonas sp. ZDH117],168,168,0.8,5.00E-44,0.25,WP_118864238.1,,
Select seq WP_007612002.1,MULTISPECIES: glycosyl hydrolase family 30 [Bacillus],168,168,0.79,6.00E-44,0.25,WP_007612002.1,,
Select seq WP_088086481.1,glycosyl hydrolase [Bacillus sp. OV166],167,167,0.85,6.00E-44,0.25,WP_088086481.1,,
Select seq WP_096191514.1,glucosylceramidase [Cytophagales bacterium TFI 002],168,168,0.84,6.00E-44,0.25,WP_096191514.1,,
Select seq WP_076425288.1,glycosyl hydrolase [Bacillus sp. RUPDJ],168,168,0.79,6.00E-44,0.25,WP_076425288.1,,
Select seq WP_038458460.1,MULTISPECIES: glycosyl hydrolase [Bacillus],168,168,0.79,6.00E-44,0.25,WP_038458460.1,,
Select seq WP_080130174.1,glycosyl hydrolase [Bacillus velezensis],168,168,0.79,8.00E-44,0.25,WP_080130174.1,,
Select seq WP_090504568.1,glucosylceramidase [Pedobacter terrae],167,167,0.8,8.00E-44,0.25,WP_090504568.1,,
Select seq WP_095241765.1,glycosyl hydrolase [Bacillus siamensis],168,168,0.8,8.00E-44,0.25,WP_095241765.1,,
Select seq WP_063095026.1,glycosyl hydrolase [Bacillus amyloliquefaciens],168,168,0.79,9.00E-44,0.25,WP_063095026.1,,
Select seq WP_060562847.1,glycosyl hydrolase [Bacillus velezensis],168,168,0.79,1.00E-43,0.25,WP_060562847.1,,
Select seq WP_098995932.1,glycosyl hydrolase [Bacillus sp. AFS037270],166,166,0.85,1.00E-43,0.25,WP_098995932.1,,
Select seq WP_098932935.1,glycosyl hydrolase [Bacillus sp. AFS031507],166,166,0.85,1.00E-43,0.25,WP_098932935.1,,
Select seq WP_066404653.1,glucosylceramidase [Flavisolibacter tropicus],167,167,0.91,1.00E-43,0.25,WP_066404653.1,,
Select seq WP_036608324.1,glycosyl hydrolase [Paenibacillus sp. FSL H7-689],166,166,0.82,2.00E-43,0.25,WP_036608324.1,,
Select seq WP_044214872.1,MULTISPECIES: beta-glycosidase [Parabacteroides],167,167,0.79,2.00E-43,0.25,WP_044214872.1,,
Select seq WP_052351980.1,hypothetical protein [Deinococcus pimensis],172,172,0.84,2.00E-43,0.25,WP_052351980.1,,
Select seq WP_062616355.1,glucosylceramidase [Flammeovirga sp. SJP92],167,167,0.9,2.00E-43,0.25,WP_062616355.1,,
Select seq WP_102770376.1,glycosyl hydrolase [Paucibacter aquatile],167,167,0.9,2.00E-43,0.25,WP_102770376.1,,
Select seq WP_098528494.1,glycosyl hydrolase [Bacillus sp. AFS076308],165,165,0.85,2.00E-43,0.25,WP_098528494.1,,
Select seq WP_061528289.1,glycosyl hydrolase [Bacillus nakamurai],167,167,0.79,2.00E-43,0.25,WP_061528289.1,,
Select seq WP_101314019.1,glycosyl hydrolase [Paenibacillus sp. BGI2013],166,166,0.82,2.00E-43,0.25,WP_101314019.1,,
Select seq WP_030005218.1,glycosyl hydrolase family 30 [Acholeplasma brassicae],165,165,0.84,2.00E-43,0.25,WP_030005218.1,,
Select seq WP_105937617.1,glycosyl hydrolase [Bacillus velezensis],166,166,0.79,3.00E-43,0.25,WP_105937617.1,,
Select seq WP_089836415.1,hypothetical protein [Granulicella pectinivorans],166,166,0.8,3.00E-43,0.25,WP_089836415.1,,
Select seq WP_020716918.1,hypothetical protein [Acidobacteriaceae bacterium KBS 89],166,166,0.84,3.00E-43,0.25,WP_020716918.1,,
Select seq WP_032873382.1,MULTISPECIES: glycosyl hydrolase [Bacillus subtilis group],166,166,0.79,3.00E-43,0.25,WP_032873382.1,,
Select seq WP_007654646.1,beta-glycosidase [Parabacteroides goldsteinii],166,166,0.79,3.00E-43,0.25,WP_007654646.1,,
Select seq WP_124114531.1,glycosyl hydrolase [Paenibacillus xylanexedens],165,165,0.79,3.00E-43,0.25,WP_124114531.1,,
Select seq WP_122328348.1,beta-glycosidase [Parabacteroides sp. AF17-3],166,166,0.79,4.00E-43,0.25,WP_122328348.1,,
Select seq WP_122331891.1,beta-glycosidase [Parabacteroides sp. AF48-14],166,166,0.79,4.00E-43,0.25,WP_122331891.1,,
Select seq WP_122376290.1,beta-glycosidase [Parabacteroides sp. AF18-52],166,166,0.78,4.00E-43,0.25,WP_122376290.1,,
Select seq WP_101670572.1,glycosyl hydrolase [Bacillus amyloliquefaciens],166,166,0.79,4.00E-43,0.25,WP_101670572.1,,
Select seq WP_046178427.1,glycosyl hydrolase [Domibacillus tundrae],165,165,0.82,4.00E-43,0.25,WP_046178427.1,,
Select seq WP_122353356.1,beta-glycosidase [Parabacteroides sp. AF14-59],165,165,0.78,4.00E-43,0.25,WP_122353356.1,,
Select seq WP_121195109.1,"glucan endo-1,6-beta-glucosidase [Motilibacter peucedani]",169,169,0.81,5.00E-43,0.25,WP_121195109.1,,
Select seq WP_062318869.1,glycosyl hydrolase [Paenibacillus pabuli],165,165,0.85,5.00E-43,0.25,WP_062318869.1,,
Select seq WP_047453491.1,glucosylceramidase [Chryseobacterium sp. OV715],165,165,0.79,5.00E-43,0.25,WP_047453491.1,,
Select seq WP_111602201.1,glycosyl hydrolase [Streptomyces sp. Amel2xB2],167,167,0.84,5.00E-43,0.25,WP_111602201.1,,
Select seq WP_064716300.1,glucosylceramidase [Flavobacterium succinicans],165,165,0.79,7.00E-43,0.25,WP_064716300.1,,
Select seq WP_118262054.1,glycosyl hydrolase [Bifidobacterium pseudocatenulatum],164,164,0.84,8.00E-43,0.25,WP_118262054.1,,
Select seq WP_107873424.1,glycosyl hydrolase [Asticcacaulis sp. CF398],165,165,0.86,8.00E-43,0.25,WP_107873424.1,,
Select seq WP_116049411.1,glycosyl hydrolase [Paenibacillus paeoniae],165,165,0.79,8.00E-43,0.25,WP_116049411.1,,
Select seq WP_048580995.1,hypothetical protein [Streptomyces viridochromogenes],168,168,0.82,8.00E-43,0.25,WP_048580995.1,,
Select seq WP_122345720.1,beta-glycosidase [Parabacteroides sp. AF17-28],165,165,0.79,8.00E-43,0.25,WP_122345720.1,,
Select seq WP_122360915.1,beta-glycosidase [Parabacteroides sp. TM07-1AC],165,165,0.78,1.00E-42,0.25,WP_122360915.1,,
Select seq WP_011743531.1,glucosylceramidase [Bifidobacterium adolescentis],164,164,0.84,1.00E-42,0.25,WP_011743531.1,,
Select seq WP_117783620.1,glycosyl hydrolase [Bifidobacterium pseudocatenulatum],164,164,0.84,1.00E-42,0.25,WP_117783620.1,,
Select seq WP_080789478.1,glycosyl hydrolase [Bifidobacterium pseudocatenulatum],164,164,0.84,1.00E-42,0.25,WP_080789478.1,,
Select seq WP_097553524.1,glucosylceramidase [Flavobacterium branchiophilum],164,164,0.79,1.00E-42,0.25,WP_097553524.1,,
Select seq WP_089352059.1,T9SS C-terminal target domain-containing protein [Flavobacterium sp. ov086],169,169,0.81,1.00E-42,0.25,WP_089352059.1,,
Select seq WP_076249443.1,glycosyl hydrolase [Paenibacillus amylolyticus],163,163,0.82,2.00E-42,0.25,WP_076249443.1,,
Select seq WP_014083867.1,glucosylceramidase [Flavobacterium branchiophilum],164,164,0.79,2.00E-42,0.25,WP_014083867.1,,
Select seq WP_055063571.1,MULTISPECIES: glycosyl hydrolase [Bifidobacterium],163,163,0.84,2.00E-42,0.25,WP_055063571.1,,
Select seq WP_089480989.1,T9SS C-terminal target domain-containing protein [Flavobacterium araucananum],168,168,0.79,2.00E-42,0.25,WP_089480989.1,,
Select seq WP_104780859.1,glycosyl hydrolase [Streptomyces sp. 46],167,167,0.85,2.00E-42,0.25,WP_104780859.1,,
Select seq WP_100528975.1,glycosyl hydrolase [Paenibacillus sp. GM1FR],163,163,0.82,2.00E-42,0.25,WP_100528975.1,,
Select seq WP_033500422.1,glycosyl hydrolase [Bifidobacterium kashiwanohense],163,163,0.84,2.00E-42,0.25,WP_033500422.1,,
Select seq WP_052313266.1,hypothetical protein [Terriglobus roseus],163,163,0.83,2.00E-42,0.25,WP_052313266.1,,
Select seq WP_117789304.1,glycosyl hydrolase [Bifidobacterium pseudocatenulatum],163,163,0.84,2.00E-42,0.25,WP_117789304.1,,
Select seq WP_036670764.1,glycosyl hydrolase [Paenibacillus sp. FSL R5-192],163,163,0.79,2.00E-42,0.25,WP_036670764.1,,
Select seq WP_123491065.1,glucosylceramidase [Granulicella sp. GAS466],163,163,0.83,2.00E-42,0.25,WP_123491065.1,,
Select seq WP_076327718.1,glycosyl hydrolase [Paenibacillus amylolyticus],163,163,0.82,3.00E-42,0.25,WP_076327718.1,,
Select seq WP_118239823.1,glycosyl hydrolase [Bifidobacterium pseudocatenulatum],163,163,0.84,3.00E-42,0.25,WP_118239823.1,,
Select seq WP_117648963.1,glycosyl hydrolase [Bifidobacterium pseudocatenulatum],163,163,0.84,3.00E-42,0.25,WP_117648963.1,,
Select seq WP_083918735.1,glycosyl hydrolase [Rudaea cellulosilytica],163,163,0.9,3.00E-42,0.25,WP_083918735.1,,
Select seq WP_004220869.1,hypothetical protein [Bifidobacterium pseudocatenulatum],163,163,0.84,3.00E-42,0.25,WP_004220869.1,,
Select seq WP_099571408.1,glycosyl hydrolase [Bifidobacterium sp. N5G01],163,163,0.84,3.00E-42,0.25,WP_099571408.1,,
Select seq WP_075556861.1,beta-glycosidase [Parabacteroides timonensis],163,163,0.79,4.00E-42,0.25,WP_075556861.1,,
Select seq WP_110837334.1,MULTISPECIES: T9SS C-terminal target domain-containing protein [Flavobacterium],168,168,0.81,4.00E-42,0.25,WP_110837334.1,,
Select seq WP_089057523.1,MULTISPECIES: glucosylceramidase [Flavobacterium],163,163,0.8,5.00E-42,0.25,WP_089057523.1,,
Select seq WP_124448262.1,glycosyl hydrolase [Paucibacter sp. KBW04],163,163,0.8,7.00E-42,0.25,WP_124448262.1,,
Select seq WP_071887783.1,glucosylceramidase [Rufibacter sp. DG15C],163,163,0.8,7.00E-42,0.25,WP_071887783.1,,
Select seq WP_035645459.1,glucosylceramidase [Flavobacterium sp. Fl],163,163,0.81,7.00E-42,0.25,WP_035645459.1,,
Select seq WP_117917881.1,glucosylceramidase [Bacteroides stercoris],162,162,0.84,7.00E-42,0.25,WP_117917881.1,,
Select seq WP_003834134.1,hypothetical protein [Bifidobacterium catenulatum],162,162,0.84,8.00E-42,0.25,WP_003834134.1,,
Select seq WP_078948028.1,hypothetical protein [Streptomyces griseus],165,165,0.83,1.00E-41,0.25,WP_078948028.1,,
Select seq WP_073397242.1,T9SS C-terminal target domain-containing protein [Flavobacterium pectinovorum],166,166,0.79,1.00E-41,0.25,WP_073397242.1,,
Select seq WP_066210336.1,hypothetical protein [Flammeovirga sp. MY04],162,162,0.8,1.00E-41,0.25,WP_066210336.1,,
Select seq WP_090024744.1,glucosylceramidase [Chryseobacterium oleae],161,161,0.79,1.00E-41,0.25,WP_090024744.1,,
Select seq WP_105598586.1,MULTISPECIES: glycosyl hydrolase [Paenibacillus],161,161,0.8,2.00E-41,0.25,WP_105598586.1,,
Select seq WP_091016600.1,glycosyl hydrolase [Paenibacillus amylolyticus],160,160,0.8,2.00E-41,0.25,WP_091016600.1,,
Select seq WP_100513718.1,glycosyl hydrolase [Bifidobacterium simiarum],160,160,0.78,2.00E-41,0.25,WP_100513718.1,,
Select seq WP_117308320.1,carbohydrate-binding protein [Bacillus sp. V59.32a],168,168,0.8,2.00E-41,0.25,WP_117308320.1,,
Select seq WP_073095913.1,glucosylceramidase [Leeuwenhoekiella marinoflava],161,161,0.8,2.00E-41,0.25,WP_073095913.1,,
Select seq WP_062666450.1,glycosyl hydrolase [Grimontia celer],163,163,0.86,2.00E-41,0.25,WP_062666450.1,,
Select seq WP_083205434.1,carbohydrate-binding protein [Bacillus sp. FJAT-27264],168,168,0.8,3.00E-41,0.25,WP_083205434.1,,
Select seq WP_002537691.1,glycosyl hydrolase [Grimontia indica],162,162,0.86,3.00E-41,0.25,WP_002537691.1,,
Select seq WP_081943185.1,hypothetical protein [Caulobacter henricii],160,160,0.81,3.00E-41,0.25,WP_081943185.1,,
Select seq WP_042563976.1,T9SS C-terminal target domain-containing protein [Flavobacterium sp. MEB061],164,164,0.79,4.00E-41,0.25,WP_042563976.1,,
Select seq WP_076330994.1,glycosyl hydrolase [Paenibacillus amylolyticus],160,160,0.85,4.00E-41,0.25,WP_076330994.1,,
Select seq WP_081942395.1,hypothetical protein [Caulobacter henricii],160,160,0.81,4.00E-41,0.25,WP_081942395.1,,
Select seq WP_114324896.1,glycosyl hydrolase [Colwellia sp. Bin11-node4],161,161,0.8,5.00E-41,0.25,WP_114324896.1,,
Select seq WP_079422572.1,glycosyl hydrolase [Clostridium oryzae],159,159,0.78,5.00E-41,0.25,WP_079422572.1,,
Select seq WP_104428707.1,glucosylceramidase [Methylobacter tundripaludum],160,160,0.81,6.00E-41,0.25,WP_104428707.1,,
Select seq WP_083350380.1,hypothetical protein [Terriglobus roseus],159,159,0.81,6.00E-41,0.25,WP_083350380.1,,
Select seq WP_074419336.1,glucosylceramidase [Hydrotalea flava],160,160,0.8,7.00E-41,0.25,WP_074419336.1,,
Select seq WP_111377383.1,T9SS C-terminal target domain-containing protein [Flavobacterium nitrogenifigens],165,165,0.79,7.00E-41,0.25,WP_111377383.1,,
Select seq WP_018462838.1,hypothetical protein [Prevotella paludivivens],160,160,0.8,8.00E-41,0.25,WP_018462838.1,,
Select seq WP_034874972.1,glycosyl hydrolase [Bifidobacterium moukalabense],159,159,0.78,9.00E-41,0.25,WP_034874972.1,,
Select seq WP_101441657.1,"glucan endo-1,6-beta-glucosidase [Bifidobacterium pseudolongum]",159,159,0.8,9.00E-41,0.25,WP_101441657.1,,
Select seq WP_122337790.1,glycosyl hydrolase family 30 [Tannerella sp. AF04-6],159,159,0.78,1.00E-40,0.25,WP_122337790.1,,
Select seq WP_071133575.1,beta-glycosidase [Millionella massiliensis],159,159,0.85,1.00E-40,0.25,WP_071133575.1,,
Select seq WP_056051387.1,MULTISPECIES: glycosyl hydrolase [Caulobacter],159,159,0.82,1.00E-40,0.25,WP_056051387.1,,
Select seq WP_079437816.1,glycosyl hydrolase [Clostridium chromiireducens],158,158,0.77,1.00E-40,0.25,WP_079437816.1,,
Select seq WP_101428449.1,"glucan endo-1,6-beta-glucosidase [Bifidobacterium pseudolongum]",159,159,0.8,1.00E-40,0.25,WP_101428449.1,,
Select seq WP_096349552.1,glucosylceramidase [Mucilaginibacter gotjawali],159,159,0.84,1.00E-40,0.25,WP_096349552.1,,
Select seq WP_057117087.1,T9SS C-terminal target domain-containing protein [Flavobacterium sp. Root935],163,163,0.79,1.00E-40,0.25,WP_057117087.1,,
Select seq WP_081390385.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.82,2.00E-40,0.25,WP_081390385.1,,
Select seq WP_081386894.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.82,2.00E-40,0.25,WP_081386894.1,,
Select seq WP_033488342.1,"glucan endo-1,6-beta-glucosidase [Bifidobacterium pseudolongum]",158,158,0.8,2.00E-40,0.25,WP_033488342.1,,
Select seq WP_081382461.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,2.00E-40,0.25,WP_081382461.1,,
Select seq WP_077831402.1,glycosyl hydrolase [Clostridium beijerinckii],158,158,0.78,2.00E-40,0.25,WP_077831402.1,,
Select seq WP_041900223.1,glycosyl hydrolase [Clostridium beijerinckii],158,158,0.78,2.00E-40,0.25,WP_041900223.1,,
Select seq WP_081389239.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,2.00E-40,0.25,WP_081389239.1,,
Select seq WP_081388033.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.82,2.00E-40,0.25,WP_081388033.1,,
Select seq WP_081386624.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,2.00E-40,0.25,WP_081386624.1,,
Select seq WP_080742603.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,2.00E-40,0.25,WP_080742603.1,,
Select seq WP_097325285.1,glucosylceramidase [Actinoplanes atraurantiacus],161,161,0.79,2.00E-40,0.25,WP_097325285.1,,
Select seq WP_081391914.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,3.00E-40,0.25,WP_081391914.1,,
Select seq WP_052701429.1,glucosylceramidase [Streptomyces iranensis],159,159,0.79,3.00E-40,0.25,WP_052701429.1,,
Select seq WP_071407954.1,glycosyl hydrolase [Globicatella sp. HMSC072A10],157,157,0.85,3.00E-40,0.25,WP_071407954.1,,
Select seq WP_076134206.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,3.00E-40,0.25,WP_076134206.1,,
Select seq WP_111505481.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,3.00E-40,0.25,WP_111505481.1,,
Select seq WP_011607152.1,glycosyl hydrolase [Frankia alni],163,163,0.9,3.00E-40,0.25,WP_011607152.1,,
Select seq WP_081394316.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,4.00E-40,0.25,WP_081394316.1,,
Select seq WP_076281933.1,carbohydrate-binding protein [Paenibacillus odorifer],165,165,0.8,4.00E-40,0.25,WP_076281933.1,,
Select seq WP_119365792.1,glycosyl hydrolase [Clostridium chromiireducens],157,157,0.77,4.00E-40,0.25,WP_119365792.1,,
Select seq WP_014054132.1,glucosylceramidase [Streptomyces violaceusniger],158,158,0.79,4.00E-40,0.25,WP_014054132.1,,
Select seq WP_074987961.1,glucosylceramidase [Rufibacter ruber],158,158,0.83,4.00E-40,0.25,WP_074987961.1,,
Select seq WP_103887990.1,glucosylceramidase [Streptomyces yanglinensis],160,160,0.8,5.00E-40,0.25,WP_103887990.1,,
Select seq WP_078642891.1,glucosylceramidase [Streptomyces hygroscopicus],157,157,0.79,9.00E-40,0.25,WP_078642891.1,,
Select seq WP_020511058.1,hypothetical protein [Actinoplanes globisporus],159,159,0.79,9.00E-40,0.25,WP_020511058.1,,
Select seq WP_015795778.1,glucosylceramidase [Catenulispora acidiphila],159,159,0.8,9.00E-40,0.25,WP_015795778.1,,
Select seq WP_093463825.1,glucosylceramidase [Streptomyces melanosporofaciens],157,157,0.79,1.00E-39,0.25,WP_093463825.1,,
Select seq WP_012060829.1,glycosyl hydrolase [Clostridium beijerinckii],156,156,0.78,1.00E-39,0.25,WP_012060829.1,,
Select seq WP_119990701.1,glucosylceramidase [Streptomyces sp. 11-1-2],157,157,0.79,1.00E-39,0.25,WP_119990701.1,,
Select seq WP_052333190.1,carbohydrate-binding protein [Paenibacillus pasadenensis],163,163,0.81,1.00E-39,0.25,WP_052333190.1,,
Select seq WP_094666883.1,glycosyl hydrolase [Bifidobacterium myosotis],156,156,0.78,1.00E-39,0.25,WP_094666883.1,,
Select seq WP_033496375.1,glycosyl hydrolase [Bifidobacterium psychraerophilum],156,156,0.83,1.00E-39,0.25,WP_033496375.1,,
Select seq WP_093961102.1,glycosyl hydrolase [Bifidobacterium vansinderenii],156,156,0.77,1.00E-39,0.25,WP_093961102.1,,
Select seq WP_058188665.1,glucosylceramidase [Terracidiphilus gabretensis],156,156,0.79,2.00E-39,0.25,WP_058188665.1,,
Select seq WP_115843101.1,MULTISPECIES: T9SS C-terminal target domain-containing protein [Flavobacterium],160,160,0.81,2.00E-39,0.25,WP_115843101.1,,
Select seq WP_033891337.1,glycosyl hydrolase [Bifidobacterium saguini],155,155,0.78,2.00E-39,0.25,WP_033891337.1,,
Select seq WP_033518800.1,hypothetical protein [Bifidobacterium cuniculi],156,156,0.79,2.00E-39,0.25,WP_033518800.1,,
Select seq WP_109056565.1,glycosyl hydrolase [Bifidobacterium callitrichidarum],155,155,0.78,3.00E-39,0.25,WP_109056565.1,,
Select seq WP_100493590.1,glycosyl hydrolase [Bifidobacterium felsineum],155,155,0.78,4.00E-39,0.25,WP_100493590.1,,
Select seq WP_082820972.1,hypothetical protein [Gemmatimonas phototrophica],156,156,0.8,4.00E-39,0.25,WP_082820972.1,,
Select seq WP_116175481.1,glucosylceramidase [Kutzneria buriramensis],157,157,0.85,4.00E-39,0.25,WP_116175481.1,,
Select seq WP_044088697.1,glycosyl hydrolase [Bifidobacterium reuteri],154,154,0.78,5.00E-39,0.25,WP_044088697.1,,
Select seq WP_122378699.1,beta-glycosidase [Parabacteroides sp. AM44-16],154,154,0.79,8.00E-39,0.25,WP_122378699.1,,
Select seq WP_066147926.1,carbohydrate-binding protein [Bacillus novalis],160,160,0.85,9.00E-39,0.25,WP_066147926.1,,
Select seq WP_101625178.1,glycosyl hydrolase [Bifidobacterium imperatoris],153,153,0.78,1.00E-38,0.25,WP_101625178.1,,
Select seq WP_122143984.1,beta-glycosidase [Parabacteroides distasonis],154,154,0.79,1.00E-38,0.25,WP_122143984.1,,
Select seq WP_053782507.1,glycosyl hydrolase [Paenibacillus sp. A59],153,153,0.82,1.00E-38,0.25,WP_053782507.1,,
Select seq WP_066092523.1,carbohydrate-binding protein [Bacillus novalis],160,160,0.85,1.00E-38,0.25,WP_066092523.1,,
Select seq WP_112375569.1,glucosylceramidase [Sphingobacterium multivorum],154,154,0.83,2.00E-38,0.25,WP_112375569.1,,
Select seq WP_099464252.1,beta-glycosidase [Parabacteroides sp. Marseille-P3668],153,153,0.79,2.00E-38,0.25,WP_099464252.1,,
Select seq WP_124116842.1,glycosyl hydrolase [Paenibacillus xylanexedens],153,153,0.85,2.00E-38,0.25,WP_124116842.1,,
Select seq WP_106185828.1,glucosylceramidase [Umezawaea tangerina],156,156,0.84,2.00E-38,0.25,WP_106185828.1,,
Select seq WP_110000457.1,MULTISPECIES: glycosyl hydrolase [Paenibacillus],152,152,0.81,2.00E-38,0.25,WP_110000457.1,,
Select seq WP_117884059.1,glucosylceramidase [Lutibacter sp. SM1352],153,153,0.87,2.00E-38,0.25,WP_117884059.1,,
Select seq WP_011463416.1,glycosyl hydrolase [Rhodoferax ferrireducens],153,153,0.84,3.00E-38,0.25,WP_011463416.1,,
Select seq WP_064641587.1,glycosyl hydrolase [Paenibacillus sp. AD87],152,152,0.81,3.00E-38,0.25,WP_064641587.1,,
Select seq WP_019640678.1,hypothetical protein [Paenibacillus fonticola],152,152,0.78,3.00E-38,0.25,WP_019640678.1,,
Select seq WP_072733865.1,glycosyl hydrolase [Paenibacillus sp. ov031],152,152,0.81,3.00E-38,0.25,WP_072733865.1,,
Select seq WP_096109594.1,glycosyl hydrolase [Lactobacillus brevis],151,151,0.78,4.00E-38,0.25,WP_096109594.1,,
Select seq WP_015473144.1,"glucan endo-1,6-beta-glucosidase [Lactobacillus brevis]",151,151,0.78,5.00E-38,0.25,WP_015473144.1,,
Select seq WP_108477318.1,glycosyl hydrolase [Lactobacillus brevis],151,151,0.78,6.00E-38,0.25,WP_108477318.1,,
Select seq WP_019637204.1,hypothetical protein [Paenibacillus fonticola],151,151,0.8,7.00E-38,0.25,WP_019637204.1,,
Select seq WP_043022446.1,glycosyl hydrolase [Lactobacillus brevis],151,151,0.78,7.00E-38,0.25,WP_043022446.1,,
Select seq WP_099581433.1,glycosyl hydrolase [Caulobacter sp. FWC2],151,151,0.8,7.00E-38,0.25,WP_099581433.1,,
Select seq WP_121575373.1,glycosyl hydrolase [Brenneria alni],151,151,0.81,7.00E-38,0.25,WP_121575373.1,,
Select seq WP_065858713.1,carbohydrate-binding protein [Paenibacillus pectinilyticus],158,158,0.8,8.00E-38,0.25,WP_065858713.1,,
Select seq WP_040025117.1,glucosylceramidase [Streptomyces sp. 150FB],154,154,0.81,8.00E-38,0.25,WP_040025117.1,,
Select seq WP_056245672.1,T9SS C-terminal target domain-containing protein [Flavobacterium sp. Leaf82],155,155,0.79,8.00E-38,0.25,WP_056245672.1,,
Select seq WP_021740862.1,O-Glycosyl hydrolase family 30 [Lactobacillus brevis],151,151,0.78,8.00E-38,0.25,WP_021740862.1,,
Select seq WP_039105579.1,glycosyl hydrolase [Lactobacillus brevis],151,151,0.78,9.00E-38,0.25,WP_039105579.1,,
Select seq WP_093785738.1,glucosylceramidase [Streptomyces guanduensis],154,154,0.79,9.00E-38,0.25,WP_093785738.1,,
Select seq WP_110139346.1,glycosyl hydrolase [Lactobacillus brevis],150,150,0.78,1.00E-37,0.25,WP_110139346.1,,
Select seq WP_102707544.1,"beta-1,6-glucanase [Terribacillus goriensis]",151,151,0.8,1.00E-37,0.25,WP_102707544.1,,
Select seq WP_073418072.1,T9SS C-terminal target domain-containing protein [Flavobacterium defluvii],154,154,0.85,1.00E-37,0.25,WP_073418072.1,,
Select seq WP_041984044.1,glucosylceramidase [Streptomyces sp. AcH 505],153,153,0.81,2.00E-37,0.25,WP_041984044.1,,
Select seq WP_054748981.1,glycosyl hydrolase [Lactobacillus rapi],149,149,0.78,2.00E-37,0.25,WP_054748981.1,,
Select seq WP_024525861.1,glycosyl hydrolase [Lactobacillus brevis],149,149,0.78,3.00E-37,0.25,WP_024525861.1,,
Select seq WP_101178080.1,glycosyl hydrolase [Bacillus nealsonii],149,149,0.78,3.00E-37,0.25,WP_101178080.1,,
Select seq WP_121326502.1,T9SS C-terminal target domain-containing protein [Flavobacterium sp. 81],154,154,0.81,3.00E-37,0.25,WP_121326502.1,,
